candidate_id,rank,score,reasoning
CAND_0010685,1,0.99,"NLP Engineer with 6.7y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Rephrase.ai)), responsive (83%), 30d notice."
CAND_0081686,2,0.9803,"Search Engineer with 6.0y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Niramai)), responsive (91%)."
CAND_0041568,3,0.9759,"Search Engineer with 5.2y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Haptik))."
CAND_0002025,4,0.9692,"Senior AI Engineer with 5.9y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Aganitha)), responsive (80%), 30d notice."
CAND_0030953,5,0.9414,"Search Engineer with 7.8y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Niramai)), responsive (63%)."
CAND_0074735,6,0.9379,"Applied ML Engineer with 5.5y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Rephrase.ai)), responsive (77%)."
CAND_0046064,7,0.9349,"Senior NLP Engineer with 8.9y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Verloop.io)), responsive (78%), 30d notice."
CAND_0041610,8,0.9336,"Recommendation Systems Engineer with 6.7y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Observe.AI)), 30d notice."
CAND_0050454,9,0.9265,"AI Engineer with 6.8y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Rephrase.ai)), responsive (77%), 30d notice."
CAND_0071974,10,0.9214,"Senior AI Engineer with 7.8y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Mad Street Den)), responsive (76%)."
CAND_0020708,11,0.9195,"Search Engineer with 4.2y; embeddings/retrieval, vector search, ranking/eval (product-company background (PolicyBazaar)), responsive (84%), 30d notice."
CAND_0051292,12,0.9195,"Applied ML Engineer with 5.2y; embeddings/retrieval, vector search, ranking/eval (product-company background (Freshworks)), 30d notice."
CAND_0007412,13,0.9181,"Applied ML Engineer with 7.4y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Locobuzz)), responsive (76%). Concern: long notice (120d)."
CAND_0039521,14,0.9062,"Search Engineer with 3.0y; embeddings/retrieval, vector search, ranking/eval (product-company background (Salesforce)), 30d notice. Concern: only 3.0y experience."
CAND_0077337,15,0.9013,"Staff Machine Learning Engineer with 7.0y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Glance)), responsive (95%)."
CAND_0005649,16,0.8996,"Senior Data Scientist with 7.4y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Sarvam AI))."
CAND_0079387,17,0.8996,"AI Engineer with 6.9y; embeddings/retrieval, vector search, ranking/eval (product-company background (Microsoft)), responsive (81%), 30d notice."
CAND_0011687,18,0.8975,"Senior NLP Engineer with 7.8y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Niramai)), responsive (89%), 15d notice."
CAND_0006557,19,0.8955,"NLP Engineer with 7.9y; embeddings/retrieval, vector search, ranking/eval (product-company background (Apple)), responsive (63%). Concern: long notice (120d)."
CAND_0078492,20,0.8952,"Recommendation Systems Engineer with 5.1y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Verloop.io)), responsive (70%), 30d notice."
CAND_0039838,21,0.8927,"Recommendation Systems Engineer with 4.9y; embeddings/retrieval, vector search, ranking/eval (product-company background (Amazon)), responsive (80%)."
CAND_0053695,22,0.8905,"Recommendation Systems Engineer with 5.8y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Genpact AI)), responsive (60%), 15d notice."
CAND_0081053,23,0.8892,"NLP Engineer with 5.4y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Glance)), responsive (83%)."
CAND_0049538,24,0.8859,"Applied ML Engineer with 5.8y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Saarthi.ai)), responsive (72%), 30d notice."
CAND_0061655,25,0.8821,"Machine Learning Engineer with 4.6y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Krutrim)), responsive (88%), 15d notice."
CAND_0054123,26,0.8797,"Applied ML Engineer with 4.7y; embeddings/retrieval, vector search, ranking/eval (product-company background (Meta)), responsive (87%)."
CAND_0001610,27,0.8786,"Machine Learning Engineer with 3.0y; embeddings/retrieval, vector search, ranking/eval (product-company background (Dream11)). Concern: only 3.0y experience."
CAND_0020877,28,0.8751,"Applied ML Engineer with 5.1y; embeddings/retrieval, vector search, ranking/eval (product-company background (CRED)), responsive (66%)."
CAND_0037980,29,0.874,"Senior Applied Scientist with 9.0y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Niramai)), responsive (63%), 0d notice."
CAND_0070398,30,0.873,"Machine Learning Engineer with 7.2y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Genpact AI)), responsive (60%). Concern: long notice (120d)."
